STT;Name;English Name;image;Calories;Chất đạm;Chất béo;Carbohydrate;Vitamin A;Potassium;MUFA+PUFA;Canxi;Sắt;Kẽm;Natri;Cholesterol;Magie;Beta-caroten;Vitamin C;Sodium;Transfat
75;Cháo trai có quẩy;(Clam porridge with fried dough sticks);https://viendinhduong.vn/storage/app/uploads/public/2025/11/06/screenshot_24.webp;272.0;9.3;6.2;44.8;69.8;;;559.6;2.0;1.8;45.1;25.5;15.6;24.8;7.9;;
76;Cháo đỗ xanh;(Mung bean porridge);https://viendinhduong.vn/storage/app/uploads/public/2025/11/06/screenshot_23.webp;229.0;6.9;0.9;48.4;0.2;;;47.2;1.6;1.1;920.1;;7.4;2.2;0.2;;
77;Cháo đậu đen đường;(Black bean sweet porridge);https://viendinhduong.vn/storage/app/uploads/public/2025/11/06/screenshot_22.webp;322.0;4.9;0.5;74.4;0.2;2.8;0.3;29.2;1.1;0.5;1.6;;4.8;;;;
78;Xôi xéo;(Savory sticky rice with mung bean paste);https://viendinhduong.vn/storage/app/uploads/public/2025/11/06/screenshot_21.webp;461.4;10.2;9.5;83.7;0.4;;;36.6;2.6;2.6;19.2;4.8;40.1;4.5;2.4;;
79;Xôi trắng muối vừng;(Plain sticky rice with sesame salt);https://viendinhduong.vn/storage/app/uploads/public/2025/11/06/screenshot_20.webp;505.7;12.5;3.5;106.2;;;;32.5;1.9;3.2;200.1;;30.4;0.3;;;
80;Xôi lạc vừng;(Sticky rice with peanuts and sesame);https://viendinhduong.vn/storage/app/uploads/public/2025/11/06/screenshot_19.webp;692.8;20.6;16.2;116.3;0.3;;;77.4;2.9;4.0;788.5;;88.1;3.3;0.2;;
81;Xôi khúc;(Pandan sticky rice cake);https://viendinhduong.vn/storage/app/uploads/public/2025/11/06/screenshot_18.webp;611.0;16.2;16.8;98.8;0.7;;;115.4;3.4;3.1;313.8;9.9;110.7;8.0;0.9;;
82;Xôi đỗ xanh;(Mung bean sticky rice);https://viendinhduong.vn/storage/app/uploads/public/2025/11/06/screenshot_17.webp;603.4;17.2;12.8;104.9;0.8;;;119.4;10.3;3.9;102.1;;155.8;9.7;1.7;;
83;Xôi dừa;(Coconut sticky rice);https://viendinhduong.vn/storage/app/uploads/public/2025/11/06/screenshot_16.webp;596.3;14.5;6.0;121.0;0.1;;;84.3;3.4;4.0;5.5;3.8;51.0;0.9;;;
84;Xôi chè;(Sweet sticky rice and pudding);https://viendinhduong.vn/storage/app/uploads/public/2025/11/06/screenshot_15.webp;803.8;25.6;4.5;165.3;1.2;;;93.7;4.5;4.1;523.2;;162.1;14.7;2.0;;
